Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
KOKO,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Asian,  Japanese,  Oriental ,  Sushi",4.7,178,3000
Magari,"Kandivali West, North Western", North Western,Mumbai,"Italian,  Continental",4,10,900
Pop Tate's,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Chinese,  Italian,  Continental",4.3,610,2000
Banana Leaf,"Aditiya Apartments,Borivali West, North Western", North Western,Mumbai,"South Indian,  Street Food",4.2,53,1000
MH04 The Drunk Yard,"Kothari Compound,Thane West, Thane", Thane,Mumbai,"Finger Food,  North Indian,  Italian,  Continental,  Mexican",4.3,111,2000
The Bombay Cartel,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Italian,  Chinese,  Continental",4.2,32,1800
"Ambrosia Cakes, Bakes and Snacks","Malad West, North Western", North Western,Mumbai,"Desserts,  Bakery and Confectionary",4,1,400
Amar Juice & Restaurant,"Borivali West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Mexican,  Street Food,  Fast Food,  Juice,  Shakes",4,1,500
Maple Restro Bar,"Agarwal Arcade,Thane West, Thane", Thane,Mumbai,"North Indian,  Chinese,  Seafood,  Mughlai",4.1,21,1000
99 Pancakes,"Prabhadevi, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",3,2,500
Makhna,"Seawoods, Navi Mumbai", Navi Mumbai,Mumbai,North Indian,3.2,5,1700
Younion,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"European,  Asian,  Finger Food,  Fast Food",4.3,116,2000
Angrezi Dhaba,"Todi Mills,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  Thai,  Seafood,  Finger Food",4.1,613,1500
Delhi Highway,"Todi Mills,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Mughlai",4.3,103,1200
Frozen Bottle,"Bhoomi Enclave,Kandivali West, North Western", North Western,Mumbai,"Desserts,  Shakes,  Ice Cream",2.5,2,500
Dinshaw's Xpress Cafe,"Borivali West, North Western", North Western,Mumbai,"Ice Cream,  Desserts,  Fast Food",4.2,41,1500
Masala Mastee,"Borivali West, North Western", North Western,Mumbai,"North Indian,  Chinese,  Continental,  Street Food,  Fast Food",4.3,311,1200
Prasad Food Divine,"Manpada, Thane", Thane,Mumbai,"North Indian,  Chinese,  Continental",4.4,172,1000
Chaayos - Meri Wali Chai,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,Tea,4.3,6,500
New York Burrito Company,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Mexican,  Fast Food",4.3,41,600
Aromas Cafe & Bistro,"Indiabulls Finance Center,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Italian,  Fast Food,  Desserts,  Coffee,  Tea",2.8,6,1500
Sammy Sosa,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Italian,  Asian,  Continental,  Mexican",4.6,328,1500
Pop Tate's,"The Walk,Thane West, Thane", Thane,Mumbai,"Chinese,  Italian,  Continental",4.5,204,2000
Yum In Tum,"Borivali West, North Western", North Western,Mumbai,"Italian,  Lebanese,  Fast Food",5,1,400
West 1,"The Park Navi Mumbai,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Continental",4,192,3000
Street Gourmet,"Borivali West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Street Food,  Fast Food,  Shakes",3.8,57,1000
Srinathji's,"Jagdamba Bhavan,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Desserts,  Bakery and Confectionary",4.3,17,500
Ambience Bar & Kitchen,"Jagdamba Bhavan,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Continental,  Seafood",4.3,104,2000
K's Charcoal,"Borivali West, North Western", North Western,Mumbai,"Fast Food,  Pizza,  Italian",4,15,1000
Social,"Mathuradas Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Continental,  Finger Food,  American,  Asian",3.8,14,2000
1441 Pizzeria,"Kamala Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Pizza,  Italian",4.6,165,1200
Dhaba Cafe,"Mariam Mansion,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Street Food,  Fast Food,  Pizza",4.7,37,600
Zaika Crave,"Club Aquaria,Borivali West, North Western", North Western,Mumbai,"North Indian,  Chinese,  Continental",4.3,335,1500
Invento,"Shinde Building,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian",4.2,91,1300
Dusk,"The Park Navi Mumbai,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,Finger Food,3.5,19,2500
Elementaria Bakery Cafe,"Lower Parel, South Mumbai", South Mumbai,Mumbai,"Desserts,  Fast Food",4.3,15,800
Mad Over Donuts,"High Street Phoenix Mall,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Desserts,  Doughnuts,  Waffle",4.5,57,450
GASTRONOM,"Bhailal Building,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Asian,  Italian,  Chinese",4,1,800
RamKrishna Palace,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  South Indian",4.7,5,800
Riso,"Janta Industrial Estate,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Italian,  Mexican",4.2,361,1500
The Joker Bistro,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Continental",4.2,141,1600
The Sahib Room & Kipling Bar,"The St. Regis Mumbai,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Mughlai",4.5,74,4000
Pangat,"Shree Gayatri Ganesh Apartment,Borivali West, North Western", North Western,Mumbai,"Chinese,  North Indian,  Seafood,  Konkani",4.1,200,700
Ithaka - Veg Lebanese Kitchen,"Janta Industrial Estate,Lower Parel, South Mumbai", South Mumbai,Mumbai,Lebanese,4.2,112,1500
Firki*,"Janta Industrial Estate,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Maharashtrian,  Gujarati,  Rajasthani",4,292,1000
Farmhouse Palladium,"Borivali West, North Western", North Western,Mumbai,"North Indian,  Italian,  Chinese,  Continental,  Seafood",5,3,2000
Bayroute,"High Street Phoenix Mall,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Lebanese,  Turkish,  Moroccan,  Greek",4.3,24,3000
Udupi Shri Krishna,"Kukreja Plaza,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  South Indian,  Chinese,  Fast Food",4.8,6,1000
Chin Chin Chu,"Worli, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  Chinese,  Japanese,  Seafood,  Asian",4.5,97,2500
Honey Chillies,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Chinese,  Thai",4.5,75,1000
Shaollin Temple,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Chinese,  Thai",4.5,76,1500
Pranaam Fine Dine & Bar,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Seafood,  Biryani",4.2,45,1000
Jade Buddha's Pub and Kitchen,"Citi Tower,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Asian,  Chinese,  Japanese,  Indonesian,  Seafood,  Malaysian",4.1,16,1600
GupShup - Redefining Food,"Raghuvanshi Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"North Indian,  Fast Food,  South Indian,  Street Food",4.2,27,1200
Gymkhana 91 Bar & Kitchen,"Raghuvanshi Mills Compound,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Modern Indian,  Continental,  Asian",4.3,435,1200
Masque,"Laxmi Woolen Mills,Mahalaxmi, South Mumbai", South Mumbai,Mumbai,"European,  Modern Indian",4.6,26,8000
Tibbs Frankie,"High Street Phoenix Mall,Lower Parel, South Mumbai", South Mumbai,Mumbai,Fast Food,3.5,9,200
Chaai Centre,"CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Fast Food,  Coffee,  Tea",4.3,21,500
Tokyo Treat,"Bhailal Building,Lower Parel, South Mumbai", South Mumbai,Mumbai,"Japanese,  Sushi",3,1,1000
Sizzling China,"Lower Parel, South Mumbai", South Mumbai,Mumbai,"Chinese,  Seafood",4.3,75,1200
Tibbs Frankie,"High Street Phoenix Mall,Lower Parel, South Mumbai", South Mumbai,Mumbai,Fast Food,3.7,3,200
Dhamaka Cafe & Lounge Bar,"Mahavir Icon,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Italian,  Continental,  Chinese,  Mughlai",4,2,1500
99 Pancakes,"Lower Parel, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",4,1,500
The Wadapav Cafe,"Borivali East, North Western", North Western,Mumbai,"Street Food,  Fast Food,  Maharashtrian",1.8,3,400
Thee Confectionery,"Lower Parel, South Mumbai", South Mumbai,Mumbai,"Desserts,  Bakery and Confectionary",1,1,600
China Bistro,"Worli, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  Chinese,  Thai,  Japanese,  Seafood,  Asian,  Sushi",4.3,415,2000
Silver Coin,"Raj Sebastain Kinny Apartment,Borivali West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Oriental ",4.5,63,1000
Light House Cafe,"Sun Ville,Worli, South Mumbai", South Mumbai,Mumbai,"American,  North Indian,  Italian,  Thai,  Mexican",4,239,2500
Glocal Junction,"Nehru Centre,Worli, South Mumbai", South Mumbai,Mumbai,"Continental,  Fast Food,  North Indian,  European",4.4,875,2200
Pritam's Global Cuisine,"Rosa Vista,Thane West, Thane", Thane,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ",4.2,178,2000
99 Pancakes,"Borivali West, North Western", North Western,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",4,6,500
Wowfillss,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Bakery and Confectionary,  Waffle,  Desserts,  Shakes",4,7,500
Persian Darbar,"Alexandra Terrace,Byculla, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Mughlai,  Biryani",4.3,213,1500
Pizzaria House,"Kandivali West, North Western", North Western,Mumbai,"Pizza,  Fast Food",1,2,1000
La Crosta,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Italian,  Mexican",4.1,3,400
Hugs & Mugs,"Bhoomi Towers,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Fast Food,  Health Food",4.5,25,700
Banjara Dhaba,"Borivali West, North Western", North Western,Mumbai,"North Indian,  Chinese",4,503,700
Cheezzo By Pi,"Bhoomi Towers,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Italian,  Fast Food",4.6,5,300
Paps Premium Lounge,"Rosa Vista,Thane West, Thane", Thane,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  European,  Seafood,  Fast Food",4.1,48,2000
The Burger Pit,"Saffron Building,Borivali West, North Western", North Western,Mumbai,American,4.5,67,800
Kafe ATM,"Borivali West, North Western", North Western,Mumbai,"North Indian,  Continental,  Lebanese,  Fast Food",4.9,5,800
Bombay Street Co.,"Atria The Millennium Mall,Worli, South Mumbai", South Mumbai,Mumbai,"North Indian,  Street Food,  Fast Food",4,97,1200
Tibbs Frankie,"Kandivali East, North Western", North Western,Mumbai,Fast Food,4.3,4,500
The Nawaabs,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Mughlai",4.3,31,800
Pop Tate's,"Lodha Xperia Mall,Dombivli East, Dombivali", Dombivali,Mumbai,"Chinese,  Italian,  Continental",4.4,108,2000
The Fusion Kitchen,"Borivali West, North Western", North Western,Mumbai,"North Indian,  Italian,  Continental",4.5,373,1400
Village 12-20 Pure Veg,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Continental,  Mexican",3.8,12,1000
Tibbs Frankie,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,Fast Food,4,3,500
Cheelizza,"Thane West, Thane", Thane,Mumbai,"Pizza,  Fast Food",4.1,37,600
Veg Planet,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Fast Food,  Chinese,  South Indian",4.2,51,800
Mad Over Donuts,"Dombivli East, Dombivali", Dombivali,Mumbai,"Desserts,  Doughnuts,  Waffle",4.5,6,450
Desi Videshi Cafe,"Rosa Vista,Thane West, Thane", Thane,Mumbai,"Italian,  Fast Food,  Shakes",3.7,21,800
Mad Over Donuts,"Sai Swar CHS,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Desserts,  Doughnuts,  Waffle",4.7,18,450
Chaayos - Meri Wali Chai,"The Walk,Thane West, Thane", Thane,Mumbai,Tea,4.6,5,500
Hotel Sindhudurga Coastal,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Seafood,  Malvani",5,1,700
Frozen Bottle,"Sai Swar CHS,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Desserts,  Shakes,  Ice Cream",4.6,25,500
D'Crepes Cafe,"Avilla Apartments,Thane West, Thane", Thane,Mumbai,"Fast Food,  Chinese,  Desserts",4.5,39,1000
Cheelizza,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Pizza,  Italian",4.2,24,600
Cafe Monza,"Bhoomi Heights Tower,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Continental,  Pizza",4.5,138,1500
Relish Cherish,"Hill Spring building,Thane West, Thane", Thane,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Seafood,  Oriental ",4.8,6,800
Balaji Food Junction,"Cosmos Jewels,Ghodbunder Road, Thane", Thane,Mumbai,"North Indian,  South Indian,  Chinese",4.1,7,400
Ministry of Sounds,"Cosmos Jewels,Ghodbunder Road, Thane", Thane,Mumbai,"North Indian,  Chinese,  Fast Food",4,1,1000
Hapi Brewing Co.,"Dahisar East, North Western", North Western,Mumbai,"North Indian,  Oriental ,  Chinese",4.1,40,1200
Backyard Beer Garden,"Mira Road East, North Western", North Western,Mumbai,"North Indian,  Italian,  Chinese",4,99,1000
Royale MasterChef Finedine and Bar,"Gagangri Complex,Dahisar West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Continental,  Asian,  Oriental ",4.4,244,1400
Whatta Waffle!,"Hiranandani Estate,Thane West, Thane", Thane,Mumbai,"Desserts,  Waffle",4.3,7,300
Wai Wai City,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Chinese,  Fast Food",3.5,10,800
Royale MasterChef Lounge,"Gagangri Complex,Dahisar West, North Western", North Western,Mumbai,"Fast Food,  Continental,  Seafood",4.4,63,2500
Lucknowee Tunday Kebab,"Byculla, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Seafood,  Mughlai",4.2,83,800
99 Pancakes,"Bhoomi Towers,Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",2.8,5,500
Mondo,"Omkareshwar Building,Dahisar West, North Western", North Western,Mumbai,"European,  Indian Cuisine",4,72,1300
Eggsplore,"Essel World,Borivali West, North Western", North Western,Mumbai,"Fast Food,  Street Food",5,1,500
Rivaaz,"The Sahil Hotel,Mumbai Central, South Mumbai", South Mumbai,Mumbai,"North Indian,  Mughlai,  Awadhi",4.3,223,1500
Wowfillss,"Nathani Heights,Mumbai Central, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Waffle,  Desserts,  Shakes",4.7,13,500
Bluet Restaurant,"The Sahil Hotel,Mumbai Central, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",4.2,53,1800
Mr. Grill,"Kasarvadavali, Thane", Thane,Mumbai,"North Indian,  Chinese,  Seafood,  Mughlai",4.1,5,1000
Dara's Dhaba,"Mira Road East, North Western", North Western,Mumbai,"North Indian,  Chinese",4.2,432,1500
The Amritsar Haveli,"Kharghar, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Fast Food",3.6,13,1000
My Cafe,"Mira Road East, North Western", North Western,Mumbai,Fast Food,5,1,500
Shalimar Restaurant,"Masjid Bunder, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Mughlai",4.3,94,1000
Tibbs Frankie,"Breach Candy, South Mumbai", South Mumbai,Mumbai,Fast Food,4,6,300
Mad Over Donuts,"Cumballa Hill, South Mumbai", South Mumbai,Mumbai,"Desserts,  Doughnuts,  Waffle",4.7,10,450
Faham Restaurant & Lounge,"Sadguru Sadan,Masjid Bunder, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Mughlai,  Seafood",4.4,66,1200
Pali Village,"Mira Road East, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Seafood,  Mughlai",4.1,333,2000
Velvet Garden,"Ghodbunder Road, Thane", Thane,Mumbai,"North Indian,  Chinese,  Seafood",3.4,14,1500
Tibbs Frankie,"Tardeo, South Mumbai", South Mumbai,Mumbai,Fast Food,3.2,20,200
Amar Fast Food & Restaurant,"Tardeo, South Mumbai", South Mumbai,Mumbai,"Fast Food,  Juice,  North Indian,  Chinese,  South Indian",4.3,45,500
Flax,"Hubtown Skybay,Breach Candy, South Mumbai", South Mumbai,Mumbai,Health Food,3,1,900
Sudama,"Hotel Krishna Palace Residency,Grant Road, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Oriental ,  Gujarati,  Fast Food",4.3,87,1500
Malhaar Lunch Home,"Blossom Arcade,Mira Road, North Western", North Western,Mumbai,"Seafood,  Goan,  North Indian,  Chinese",4.4,38,800
36 Downtown Restobar,"Kemps Corner, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese",4.2,40,1800
New York Burrito Company,"Fulchand Nivas,Girgaum, South Mumbai", South Mumbai,Mumbai,Mexican,4.5,97,600
Shake Me Up,"Mira Road, North Western", North Western,Mumbai,"Shakes,  Fast Food",5,2,500
Gulmurg,"The Shalimar Hotel,Kemps Corner, South Mumbai", South Mumbai,Mumbai,"North Indian,  Continental",4.3,110,1800
6th Street Yogurt,"Chinoy Mansion,Kemps Corner, South Mumbai", South Mumbai,Mumbai,"Desserts,  Ice Cream,  Yogurt",4,62,300
Khana Khazana,"Charni Road, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  South Indian,  Gujarati",4.7,11,500
Happiness Deli,"Crescent House,Grant Road, South Mumbai", South Mumbai,Mumbai,"Fast Food,  Bakery and Confectionary",3.9,8,500
Rising Cafe & Diner,"Charni Road, South Mumbai", South Mumbai,Mumbai,"North Indian,  Fast Food,  Italian,  Continental",4.3,179,1500
Wowfillss,"Charni Road, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Waffle,  Desserts,  Shakes",4.5,26,500
Ustaadi,"Sitaram Building,Mumbai CST Area, South Mumbai", South Mumbai,Mumbai,"North Indian,  Asian,  Italian,  Seafood",4.4,556,1300
Some Place Nice,"Poonam Sagar Complex,Mira Road, North Western", North Western,Mumbai,"North Indian,  Chinese,  Fast Food",2.1,2,1800
New Food Junxion,"Mira Road, North Western", North Western,Mumbai,"North Indian,  Chinese,  Fast Food",4.4,4,500
Ikka,"Pallavi Avida,Kalamboli, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Continental",4.2,27,1000
The Back Bencherz,"Mira Road, North Western", North Western,Mumbai,"Continental,  American,  North Indian,  Italian",3.8,62,1800
Pancharatna Restaurant & Bar,"Surya Kalyani Mansion Building,Marine Lines, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai,  Oriental ",4.3,209,1500
Pizza Burst,"Beverly Park,Mira Road, North Western", North Western,Mumbai,"Pizza,  Italian",4.4,18,600
GO69 Pizza,"Mira Road East, North Western", North Western,Mumbai,"Fast Food,  Pizza,  Italian",4.5,2,600
Foo Town,"Nagin Mahal,Churchgate, South Mumbai", South Mumbai,Mumbai,"Asian,  Chinese,  Japanese,  Sushi",4.7,69,2000
The Nutcracker,"Modern House,Fort, South Mumbai", South Mumbai,Mumbai,"European,  American",4.6,237,1200
The Clearing House,"Fort, South Mumbai", South Mumbai,Mumbai,"European,  American,  Continental",4.5,136,3000
Social,"Glen Rose Building,Colaba, South Mumbai", South Mumbai,Mumbai,"North Indian,  Continental,  Finger Food,  American,  Asian",4.4,433,2000
Express Tadka,"Venkat Presidency Hotel,Panvel, Navi Mumbai", Navi Mumbai,Mumbai,"North Indian,  Chinese,  Seafood",3.6,5,1500
The Goose and Gridiron,"Fort, South Mumbai", South Mumbai,Mumbai,"North Indian,  Fast Food,  Continental,  Mediterranean,  Seafood,  Oriental ",3.9,232,1800
Prasad Food Divine,"Dombivli East, Dombivali", Dombivali,Mumbai,"North Indian,  Chinese,  Continental",4.4,116,800
Lalit Fine Dine,"Topiwala Building,Goregaon West, North Western", North Western,Mumbai,"North Indian,  Mughlai,  Chinese,  Seafood",4.1,65,1200
99 Pancakes,"Charni Road, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",1.3,4,500
The Mumbai Masala,"Fort, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Street Food",4.5,2,500
Kokani Katta,"Mira Road, North Western", North Western,Mumbai,"North Indian,  Seafood,  Maharashtrian,  Malvani",3.9,24,1000
Mocambo Cafe,"Fort, South Mumbai", South Mumbai,Mumbai,"Italian,  Continental,  Seafood",4.3,85,1600
Pratap Lunch Home,"Fort, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Mangalorean",4.5,377,900
Pritam's Dhaba,"Vasai East, North Western", North Western,Mumbai,"North Indian,  Chinese",4,107,1700
L&S Bistro,"InterContinental,Nariman Point, South Mumbai", South Mumbai,Mumbai,"Italian,  North Indian,  Thai",4.5,220,3000
PizzaExpress,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,"European,  Fast Food,  Italian",4.5,602,1800
The Lantern Bar at Kandeel,"Fort, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Italian,  Seafood",3.9,45,1500
Bollywood Canteen,"Dombivli East, Dombivali", Dombivali,Mumbai,"Chinese,  Italian,  Asian",4.2,25,800
Desi Curry,"Fort, South Mumbai", South Mumbai,Mumbai,"Maharashtrian,  Seafood,  Street Food",4.3,33,800
Mitron,"Fort, South Mumbai", South Mumbai,Mumbai,"North Indian,  Continental,  Finger Food",4.1,129,1500
Zaika Restaurant,"Bhayandar West, North Western", North Western,Mumbai,"North Indian,  Chinese,  South Indian",4.5,54,800
Spices & Flavours,"Rajabahadur Mansion,Fort, South Mumbai", South Mumbai,Mumbai,"North Indian,  Chinese,  Fast Food,  Italian,  Continental",4.3,488,1500
The Bar Terminal,"Rajabahadur Mansion,Fort, South Mumbai", South Mumbai,Mumbai,"Fast Food,  Italian,  Chinese,  Continental",4.2,399,1200
Tibbs Frankie,"Surya Mahal,Fort, South Mumbai", South Mumbai,Mumbai,Fast Food,4.5,8,200
Rue Du Liban,"Fort, South Mumbai", South Mumbai,Mumbai,"Lebanese,  Mediterranean",4.5,87,3000
Punjab Grill,"Fort, South Mumbai", South Mumbai,Mumbai,"North Indian,  Mughlai",4.3,128,3000
Bake House Cafe,"Ola Bake House,Fort, South Mumbai", South Mumbai,Mumbai,"Continental,  Seafood,  Fast Food",4.5,196,1500
The Bayview,"Hotel Marine Plaza,Marine Lines, South Mumbai", South Mumbai,Mumbai,"Fast Food,  North Indian,  Continental",4.4,117,3000
The Oriental Blossom,"Hotel Marine Plaza,Marine Lines, South Mumbai", South Mumbai,Mumbai,"Chinese,  Seafood",4.6,89,3500
Wowfillss,"Bhayandar West, North Western", North Western,Mumbai,"Bakery and Confectionary,  Waffle,  Desserts,  Shakes",4.1,11,500
The London Shakes,"Dombivli East, Dombivali", Dombivali,Mumbai,"Shakes,  Fast Food",3.3,9,400
99 Pancakes,"Sukh Sagar Building,Girgaum, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",1,1,500
Effingut,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Continental,  Burmese,  Finger Food",4.5,164,1500
Nara,"Colaba, South Mumbai", South Mumbai,Mumbai,"Thai,  Asian,  Seafood",4.6,62,2500
Jia - The Oriental Kitchen,"Dhanraj Mahal,Colaba, South Mumbai", South Mumbai,Mumbai,"Thai,  Seafood,  Asian",4.5,186,2500
Sassy Teaspoon,"Express Towers,Nariman Point, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts",4.5,2,400
All Stir Fry,"The Gordon House Hotel,Colaba, South Mumbai", South Mumbai,Mumbai,"Chinese,  Seafood,  Asian,  Thai",4.4,185,2700
Tibbs Frankie,"CR2 Mall,Nariman Point, South Mumbai", South Mumbai,Mumbai,Fast Food,5,1,300
The Sassy Spoon,"Express Towers,Nariman Point, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  Italian,  Continental,  European,  Desserts",4.3,383,2000
Tankstelle Bistro,"Dombivli East, Dombivali", Dombivali,Mumbai,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Mexican",3.9,40,900
99 Pancakes,"Commerce House,Fort, South Mumbai", South Mumbai,Mumbai,"Bakery and Confectionary,  Desserts,  Fast Food,  Shakes",2.8,9,500
Bayview Cafe,"Hotel Harbour View,Colaba, South Mumbai", South Mumbai,Mumbai,"Multi-Cuisine,  North Indian,  Continental,  Seafood,  Oriental ,  Fast Food",4,133,2000
Bayroute,"Minoo Manor Building,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,"Lebanese,  Turkish,  Moroccan,  Greek",4.5,65,3000
Tamarind,"Fariyas Hotel,Colaba, South Mumbai", South Mumbai,Mumbai,"South Indian,  North Indian,  Continental",4.3,79,2000
Sizzling China,"Meherzin Building,Colaba, South Mumbai", South Mumbai,Mumbai,"Chinese,  Seafood",4.4,73,1200
Tibbs Frankie,"Cuffe Parade, South Mumbai", South Mumbai,Mumbai,Fast Food,5,1,500
Easyhuman Cafe,"Park House,Colaba, South Mumbai", South Mumbai,Mumbai,"North Indian,  Desserts,  Health Food",4,14,1200
Hammer & Song,"World Trade Centre,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,"Continental,  Asian,  Seafood,  Finger Food,  Fast Food",4.7,42,2800
Flamboyante,"World Trade Centre,Cuffe Parade, South Mumbai", South Mumbai,Mumbai,"North Indian,  Asian,  Thai,  Seafood,  Fast Food",4.6,297,2000
Sky Dhaba,"Kalyan West, Dombivali", Dombivali,Mumbai,"North Indian,  Chinese",3.3,29,1100
Wah! Malwan,"Kalyan West, Dombivali", Dombivali,Mumbai,"North Indian,  Malvani,  Chinese",3.3,6,1200
Prasad Food Divine,"Kalyan East, Dombivali", Dombivali,Mumbai,"North Indian,  Chinese,  Continental",4.4,75,800
Farmhouse Sea N Sand,"Vasai West, North Western", North Western,Mumbai,"Seafood,  North Indian,  Chinese",4.1,166,1200
